Category;Subcategory;Short Name;Keyword;Description
Topic;General Visualization Methods;Charts;Charts, Diagrams, and Plots;...statistical graphics such as charts, diagrams, or plots (line/bar charts, etc.)
Topic;General Visualization Methods;Comparison;Comparison and Similarity;...methods for visual comparison or determining similarity
Topic;General Visualization Methods;Graphics;Computer Graphics Techniques;...techniques from the field of computer graphics, including raycasting, illustrative / non-photorealistic rendering, etc.
Topic;General Visualization Methods;MultiView;Coordinated and Multiple Views;...linked views, multiple views, coordinated views, coordinated multiple views, or coupled views
Topic;General Visualization Methods;ImageProcessing;Image and Signal Processing;...image and signal processing methods
Topic;General Visualization Methods;Displays;Mobile, AR/VR/Immersive, Specialized Input/Display Hardware;...specialized interaction and display techniques and hardware (mobile, caves, heads-up displays, physicalization, tangibles,... and combinations of devices)
Topic;General Visualization Methods;MultiRes;Multi-Resolution and Level of Detail Techniques;...visualization techniques for showing multiple levels of detail and resolution, including focus+context
Topic;General Visualization Methods;Hardware;Specific Computing and Rendering Hardware;...how to use specific computing or rendering hardware for visualization (CPU/GPU clusters, etc)
Topic;General Visualization Methods;Uncertainty;Uncertainty Visualization;...visually communicating uncertainty (of data, models, algorithmic results, or the visualization process)
Topic;General Visualization Methods;OtherTopic;Other Topics and Techniques;...a visualization/visual analytics related topic/technique that does not reasonably fit in any category above
